,食品,衣着,居住,医疗,交通通讯,教育,家庭服务,耐用消费品
北京,5561.54,1571.74,1286.32,1563.1,2293.23,809.25,84.71,548.55
天津,5005.09,1153.66,1528.28,1220.92,1567.87,715.24,45.5,467.75
河北,3155.4,1137.22,1097.41,808.88,1062.31,386.6,28.84,305.7
山西,2974.76,1137.71,1250.87,769.79,931.33,570.79,35.38,259.05
内蒙古,3553.48,1616.56,1028.19,869.71,1191.7,568.35,30.49,307.92
辽宁,4378.14,1187.41,1270.95,913.13,1295.7,670.13,30.4,235.46
吉林,3307.14,1259.62,1285.28,914.47,954.96,576.17,21.25,214.28
黑龙江,3128.1,1217.04,941.25,864.89,749.05,551.73,16.11,192.87
上海,7108.62,1520.61,1646.19,755.29,3373.19,1165.96,139.86,545.3
江苏,4544.64,1166.91,1042.1,794.63,1357.96,750.97,72.09,365.56
浙江,5522.56,1546.46,1333.69,933.11,2392.63,1178.54,78.67,306.86
安徽,3905.05,1010.61,988.12,633.93,920.77,633.45,31.57,249.32
福建,5078.85,1105.31,1300.1,540.63,1777.06,686.35,78.29,320.38
江西,3633.05,969.58,851.15,483.96,872.57,388.48,27.95,229.82
山东,3699.42,1394.11,1247.04,799.79,1410.45,580.1,33.5,426.8
河南,3079.82,1141.76,963.59,790.87,915.12,464.35,23.36,332.85
湖北,3996.27,1099.16,914.26,675.32,890.12,570.99,28.21,265.01
湖南,3970.42,1090.72,960.82,790.95,971.05,543.5,38.49,254.18
广东,5866.91,975.06,1748.16,836.39,2623.08,720.58,120.04,348.66
广西,4082.99,772.28,891.33,529.36,1376.03,483.61,30.24,294.83
海南,4226.9,491.84,1106.39,536.4,1303.5,459.74,24.66,255.76
重庆,4418.34,1294.3,1096.82,878.25,1044.36,536.43,48.15,405.48
四川,4255.48,1042.45,819.28,564.93,1121.45,422.07,30.03,211.86
贵州,3597.94,851.5,836.54,471.39,871.15,436.24,25.36,186.1
云南,4272.29,1026.5,739.2,606.86,1216.46,294.29,11.89,158.97
西藏,4262.77,1011.82,634.94,317.08,966.74,205.45,3.58,39.8
陕西,3586.13,1047.61,1007.68,862.7,967.52,697.29,39.86,287.22
甘肃,3183.79,1022.62,846.26,654.82,817.17,428.4,19.3,238.04
青海,3315.94,945.14,802.73,610.02,787.63,388.96,9.74,242.21
宁夏,3352.83,1178.88,1069.15,816.87,1096.32,465.08,27.94,303.8
新疆,3235.77,1245.02,781.9,643.48,1003.89,417.06,23.89,223.22
